,Unnamed: 0,Name,Type,Family,Category,Material,FileName,NBR_COD,NBR_DESC
0,0,PI-080-ContrapisoArmado,PI-080-ContrapisoArmado,Piso,Pisos,@Concreto,MG.BHZ.044-BAR-PISO-MOD-001-LOJ.nwc,,
1,1,PI-100-ContrapisoArmado,PI-100-ContrapisoArmado,Piso,Pisos,@Concreto,MG.BHZ.044-BAR-PISO-MOD-001-LOJ.nwc,,
25,25,GR-160x160cm,GR-160x160cm,CASSOL-PREO-Galeria Celular-Retangular,Quadro estrutural,GR-160x160cm,MG.BHZ.044-BAR-GRUA-CRE-001-FAM.nwc,,
26,26,Diâmetro de 600 mm,Diâmetro de 600 mm,Estaca de concreto,Fundações estruturais,Concreto - Concreto moldado in loco,MG.BHZ.044-BAR-GRUA-CRE-001-FAM.nwc,,
30,30,480x480x170cm,480x480x170cm,Bloco de fundação - 4 Estacas,Fundações estruturais,Concreto - Concreto moldado in loco,MG.BHZ.044-BAR-GRUA-CRE-001-FAM.nwc,,
31,31,Elevador ECT_1000,Elevador ECT_1000,Elevador cremalheira,Equipamento mecânico,Elevador ECT_1000,MG.BHZ.044-BAR-GRUA-CRE-001-FAM.nwc,,
32,32,H40 m L50 m con base,H40 m L50 m con base,Tower crane Potain MD_R2015,Equipamento especial,H40 m L50 m con base,MG.BHZ.044-BAR-GRUA-CRE-001-FAM.nwc,,
33,33,E8,E8,PLACA DE SINALIZAÇÃO-E7,Peças hidrossanitárias,E8,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
34,34,2,2,PLACA DE SINALIZAÇÃO-E2,Peças hidrossanitárias,2,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
35,35,SAV 420C,SAV 420C,Sinalizador audiovisual,Peças hidrossanitárias,SAV 420C,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
36,36,S17,S17,PLACA DE SINALIZAÇÃO-S17,Peças hidrossanitárias,S17,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
37,37,Distancia maxima visibilidade - 30 metros,Distancia maxima visibilidade - 30 metros,PLACA DE SINALIZAÇÃO-S3,Peças hidrossanitárias,Distancia maxima visibilidade - 30 metros,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
41,41,Mangueira de 15 metros - 1 lance,Mangueira de 15 metros - 1 lance,Hidrante Externo 60x90x17cm,Peças hidrossanitárias,Mangueira de 15 metros - 1 lance,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
45,45,Distancia maxima visibilidade - 10 metros,Distancia maxima visibilidade - 10 metros,PLACA DE SINALIZAÇÃO-E5,Peças hidrossanitárias,Distancia maxima visibilidade - 10 metros,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
47,47,3-A 40-BC 2,3-A 40-BC 2,Extintor Portatil,Peças hidrossanitárias,3-A 40-BC 2,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
49,49,OVA44010 - Exiway Light IP42 L110 multi-h,OVA44010 - Exiway Light IP42 L110 multi-h,Lighting_Emergency-and-Security_Schneider-Electric_Exiway- Light,Luminárias,OVA44010 - Exiway Light IP42 L110 multi-h,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
54,54,Acionador manual do sistema de detecção e alarme,Acionador manual do sistema de detecção e alarme,Acionador manual do sistema de detecção e alarme,Equipamento elétrico,Acionador manual do sistema de detecção e alarme,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
55,55,incendio- 15 x 15 cm 2,incendio- 15 x 15 cm 2,Concreto-Viga retangular,Quadro estrutural,3E.04.40-Proteção Contra Incêndios,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
61,61,S1D,S1D,PLACA DE SINALIZAÇÃO-S1,Peças hidrossanitárias,S1D,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
66,66,E1,E1,PLACA DE SINALIZAÇÃO-E1,Peças hidrossanitárias,E1,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
104,104,S1E,S1E,PLACA DE SINALIZAÇÃO-S1,Peças hidrossanitárias,S1E,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
149,149,SINALIZAÇÃO PISO EXTINTOR-E12,SINALIZAÇÃO PISO EXTINTOR-E12,SINALIZAÇÃO PISO EXTINTOR,Equipamento especial,SINALIZAÇÃO PISO EXTINTOR-E12,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
276,276,BOMBA JOCKEY P/ INCÊNDIO HYDROBLOC M B 755,BOMBA JOCKEY P/ INCÊNDIO HYDROBLOC M B 755,FIT-065-040-125_MANC-BPI,Equipamento mecânico,BOMBA JOCKEY P/ INCÊNDIO HYDROBLOC M B 755,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
277,277,FireCabinetwithoutDoorPanel,FireCabinetwithoutDoorPanel,BIMINONE_FireCabinetswithStand,Equipamento mecânico,FireCabinetwithoutDoorPanel,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
291,291,ACIONADOR DA BOMBA DE INCÊNDIO,ACIONADOR DA BOMBA DE INCÊNDIO,Acionador manual do sistema de detecção e alarme,Equipamento elétrico,ACIONADOR DA BOMBA DE INCÊNDIO,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
305,305,Hidrante de Recalque Instalado em Passeio Público - Conforme ITN.17,Hidrante de Recalque Instalado em Passeio Público - Conforme ITN.17,Hidrante de Recalque Instalado em Passeio Público - Conforme ITN.17,Proteção contra incêndio,Hidrante de Recalque Instalado em Passeio Público - Conforme ITN.17,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
307,307,3E.04.40-Proteção Contra Incêndios - 80 x 80mm,3E.04.40-Proteção Contra Incêndios - 80 x 80mm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.40.00.00-Proteção Contra Incêndios,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
444,444,OVA44114 - Exiway Light Act IP42 L500 multi-h,OVA44114 - Exiway Light Act IP42 L500 multi-h,Lighting_Emergency-and-Security_Schneider-Electric_Exiway- Light,Luminárias,OVA44114 - Exiway Light Act IP42 L500 multi-h,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
535,535,DETECTOR DE TEMPERATURA,DETECTOR DE TEMPERATURA,Fire_Alarm-Intelligent_Detector-EDWARDS-Smoke_and_Heat_Detectors,Dispositivos de alarme de incêndio,DETECTOR DE TEMPERATURA,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
538,538,DETECTOR DE FUMAÇA,DETECTOR DE FUMAÇA,Fire_Alarm-Intelligent_Detector-EDWARDS-Smoke_and_Heat_Detectors,Dispositivos de alarme de incêndio,DETECTOR DE FUMAÇA,MG.BHZ.044-BAR-INC-MOD-001-GERxxx-R01.nwc,,
1081,1081,Sólido topográfico 1,Sólido topográfico 1,Sólido topográfico,Sólido topográfico,Terreno - Terra,MG.BHZ.044-BAR-TER-IMP-001-GER.nwc,,
1082,1082,Subdivisão,,,Sólido topográfico,Solid,MG.BHZ.044-BAR-TER-IMP-001-GER.nwc,,
1087,1087,3E.04.50-Sistema Elétrico - 2 x 2cm,3E.04.50-Sistema Elétrico - 2 x 2cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1093,1093,3E.04.50-Sistema Elétrico - 11 x 11cM,3E.04.50-Sistema Elétrico - 11 x 11cM,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1096,1096,"3E.04.50-Sistema Elétrico - 1,6 x 1,6 cm","3E.04.50-Sistema Elétrico - 1,6 x 1,6 cm",Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1099,1099,3E.04.50-Sistema Elétrico - 40 x 40cm,3E.04.50-Sistema Elétrico - 40 x 40cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1105,1105,3E.04.50-Sistema Elétrico - 40 x 10cm,3E.04.50-Sistema Elétrico - 40 x 10cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1106,1106,3E.04.50-Sistema Elétrico - 33 x 10cm,3E.04.50-Sistema Elétrico - 33 x 10cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1107,1107,CAIXA POLAR,CAIXA POLAR,PADRAO_ELE_Caixa_Passagem_Parede_Caixa_4x2,Dispositivos elétricos,CAIXA POLAR,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1108,1108,Linha Eletroduto Corrugado (Amarelo),Linha Eletroduto Corrugado (Amarelo),xNESTED_PADRAO_ELE_A2_Caixa_Luz_4x2_PVC,Conexões do conduite,Linha Eletroduto Corrugado (Amarelo),MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1109,1109,3E.04.50-Sistema Elétrico - 10 x 10cm,3E.04.50-Sistema Elétrico - 10 x 10cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
