Código,Termo
3E-02-00-00-00-00-00,Elementos de manejo do terreno
3E-02-02-00-00-00-00,Elementos de terrapleno
3E-02-02-02-00-00-00,Solo
3E-02-02-04-00-00-00,Camada de solo orgânico
3E-02-02-06-00-00-00,Platô
3E-02-02-08-00-00-00,Faixa terraplanada
3E-02-04-00-00-00-00,Elementos de contenção
3E-02-04-02-00-00-00,Muro de arrimo
3E-02-04-02-02-00-00,Muro de arrimo por gravidade
3E-02-04-02-04-00-00,Muro de arrimo por flexão
3E-02-04-02-06-00-00,Muro de gabião
3E-02-04-02-08-00-00,Muro de flexão
3E-02-04-04-00-00-00,Solo grampeado
3E-02-04-06-00-00-00,Cortina de contenção
3E-02-04-06-02-00-00,Contenção escorada
3E-02-04-06-04-00-00,Contenção não escorada
3E-02-04-06-06-00-00,Berma
3E-02-04-06-08-00-00,Cortina de contenção com pranchão
3E-02-04-06-10-00-00,Cortina de contenção com estacas justapostas
3E-02-04-06-12-00-00,Cortina de contenção com parede diafragma
3E-02-06-00-00-00-00,Elementos de talude
3E-02-06-02-00-00-00,Talude escalonado
3E-02-06-04-00-00-00,Coroamento do talude
3E-02-06-06-00-00-00,Pé do talude
3E-02-08-00-00-00-00,Elementos de aterro
3E-02-08-02-00-00-00,Corte do aterro
3E-02-08-02-02-00-00,Pé do corte
3E-02-08-04-00-00-00,Aterro
3E-02-08-04-02-00-00,Aterro sobre solo inconsistente
3E-02-08-04-04-00-00,Berma de equilíbrio do aterro
3E-02-08-04-06-00-00,Crista do aterro
3E-02-08-04-08-00-00,Pé do aterro
3E-02-08-04-10-00-00,Corpo do aterro
3E-02-10-00-00-00-00,Elementos para delimitação de implantação
3E-02-10-02-00-00-00,Cerca para delimitação de implantação
3E-02-10-04-00-00-00,Muro para delimitação de implantação
3E-02-10-06-00-00-00,Mureta para delimitação de implantação
3E-02-12-00-00-00-00,Elementos de plantio
3E-02-12-02-00-00-00,Gramas
3E-02-12-04-00-00-00,Mudas
3E-02-12-06-00-00-00,Vegetação de pequeno porte
3E-02-12-08-00-00-00,Vegetação de médio porte
3E-02-12-10-00-00-00,Vegetação de grande porte
3E-04-00-00-00-00-00,Elementos de canteiro de obra
3E-04-02-00-00-00-00,Elementos de ancoragem temporária
3E-04-04-00-00-00-00,Elementos de cimbramento
3E-04-06-00-00-00-00,Elementos de escoramento
3E-04-08-00-00-00-00,Elementos de marcação
